City,Lat,Lon,Wind Speed,Cloudiness,Humidity,Country,Temperature
puerto ayora,-0.74,-90.35,1.01,53,87,EC,79.0
bam,29.11,58.36,7.31,100,25,IR,73.81
busselton,-33.65,115.33,9.98,75,37,AU,78.48
castro,-24.79,-50.01,5.53,32,73,BR,55.18
rikitea,-23.12,-134.97,7.2,91,77,PF,78.55
thompson,55.74,-97.86,12.75,90,78,CA,15.8
kaduqli,11.02,29.72,15.3,80,13,SD,80.2
saskylakh,71.92,114.08,7.52,0,91,RU,4.95
sao felix do xingu,-6.64,-51.99,0.49,97,91,BR,74.01
jamestown,42.1,-79.24,5.82,1,55,US,33.39
tuatapere,-46.13,167.68,11.99,32,51,NZ,72.0
niquero,20.04,-77.58,4.43,0,79,CU,77.77
albany,42.6,-73.97,6.93,1,58,US,32.38
salta,-24.79,-65.41,0.51,19,93,AR,57.54
malanje,-9.54,16.34,2.24,71,70,AO,63.43
camopi,3.17,-52.32,2.37,90,93,GF,72.86
ushuaia,-54.8,-68.3,6.93,40,86,AR,39.2
port elizabeth,-33.92,25.57,14.99,60,45,ZA,68.0
cabo san lucas,22.89,-109.91,11.41,40,60,MX,65.53
fortuna,40.6,-124.16,8.05,90,87,US,50.2
vaini,-21.2,-175.2,4.7,40,69,TO,78.8
tuktoyaktuk,69.45,-133.04,10.29,20,77,CA,6.8
minab,27.15,57.08,6.93,75,69,IR,78.8
zapolyarnyy,69.42,30.81,13.87,100,85,RU,15.8
coxim,-18.51,-54.76,2.28,0,73,BR,73.6
punta arenas,-53.15,-70.92,5.82,75,87,CL,42.39
lebu,-37.62,-73.65,13.51,0,74,CL,51.85
provideniya,64.38,-173.3,6.29,100,93,RU,32.54
pinotepa nacional,16.32,-98.02,1.68,0,73,MX,75.61
butaritari,3.07,172.79,10.04,98,75,KI,83.01
port-gentil,-0.72,8.78,13.6,99,84,GA,79.27
port alfred,-33.59,26.89,1.99,37,66,ZA,69.01
nome,64.5,-165.41,10.29,90,92,US,30.2
udachnyy,66.42,112.4,8.95,20,54,RU,30.2
ust-maya,60.42,134.53,4.52,85,73,RU,38.95
jiexiu,37.02,111.91,8.52,0,24,CN,56.84
kenora,49.82,-94.43,9.17,75,58,CA,26.56
lagoa,39.05,-27.98,10.2,0,78,PT,60.85
bara,10.37,10.73,0.4,100,31,NG,79.03
maniitsoq,65.42,-52.9,16.53,100,82,GL,39.02
bengkulu,-3.8,102.27,3.83,45,62,ID,88.03
altea,38.6,-0.05,8.05,8,50,ES,55.94
petropavlovsk-kamchatskiy,53.05,158.65,8.95,40,55,RU,39.2
north bend,43.41,-124.22,12.75,75,81,US,46.74
zeya,53.75,127.27,2.98,89,51,RU,51.67
te anau,-45.42,167.72,3.71,80,75,NZ,56.39
kang,-23.68,22.79,6.67,0,47,BW,64.96
kaitangata,-46.28,169.85,1.99,86,62,NZ,64.0
bubaque,11.28,-15.83,10.51,1,77,GW,77.97
faanui,-16.48,-151.75,13.2,8,73,PF,82.62
kodiak,57.79,-152.41,20.8,90,86,US,37.4
kazachinskoye,57.7,93.28,6.22,0,62,RU,42.58
nhulunbuy,-12.23,136.77,8.05,75,79,AU,84.2
varca,15.22,73.92,2.73,0,68,IN,84.51
cape town,-33.93,18.42,21.92,75,100,ZA,62.58
hilo,19.73,-155.09,4.7,90,61,US,73.2
abu zabad,12.35,29.25,15.55,83,15,SD,75.94
norman wells,65.28,-126.83,4.7,75,46,CA,28.4
hermanus,-34.42,19.23,7.0,100,95,ZA,63.0
khatanga,71.97,102.5,11.74,100,97,RU,17.96
boa vista,2.82,-60.67,8.05,56,65,BR,82.4
